country_name,avg_ed_spending_pct
Cuba,12.83726978302
"Micronesia, Fed. Sts.",12.4677495956421
Solomon Islands,10.0010795593262
Moldova,8.37215256690979
Namibia,8.34961032867432
Denmark,8.27429986000061
Timor-Leste,7.975114059448249
Iceland,7.4802100658416775
Sweden,7.233168029785156
Malta,7.1345349550247175
Norway,6.986034989356993
Finland,6.90910005569458
Bolivia,6.89220199584961
Zimbabwe,6.817809939384462
Costa Rica,6.7885033289591465
Ghana,6.775489902496341
New Zealand,6.752526601155601
Senegal,6.637846183776854
Swaziland,6.636186758677163
Belgium,6.505212545394895
Kyrgyz Republic,6.4655240058898915
Aruba,6.453882026672364
Cyprus,6.43017494678497
Sao Tome and Principe,6.421992480754852
Belize,6.418809890747067
Puerto Rico,6.39076995849609
Ukraine,6.347595095634457
Mozambique,6.2802200317382795
Tunisia,6.252584934234615
"Congo, Rep.",6.2178897857666
Jamaica,6.082971652348839
South Africa,6.020890045166015
Burundi,6.008982539176943
Barbados,5.887905001640317
Honduras,5.86775016784667
Brazil,5.79441738128662
Latvia,5.781250000000001
Ireland,5.727630019187931
United Kingdom,5.714126014709473
Israel,5.690635967254636
Austria,5.580353927612307
Slovenia,5.568524956703184
France,5.552842497825623
Netherlands,5.53464183807373
Bhutan,5.510599994659422
British Virgin Islands,5.500440120697014
Kenya,5.385714928309121
Malaysia,5.351150035858155
Canada,5.321069955825805
Vietnam,5.282447457313538
Argentina,5.264714050292968
Vanuatu,5.230350017547606
United States,5.2300701141357395
Australia,5.2129320144653315
Cabo Verde,5.194493452707923
Portugal,5.179372024536132
Estonia,5.117624092102052
Mexico,5.10981798171997
Belarus,5.08527652422587
St. Vincent and the Grenadines,5.08522987365723
Switzerland,5.031945896148682
Ethiopia,5.012065052986145
Oman,4.96038007736206
Lithuania,4.950647473335263
Curacao,4.93095016479492
Germany,4.90759210586548
Poland,4.903020000457764
Ecuador,4.848686774571736
"Korea, Rep.",4.83982515335083
Niger,4.781586027145386
Togo,4.7280467351277675
Malawi,4.7109519004821765
Comoros,4.66783390045166
Cote d'Ivoire,4.635255098342896
Benin,4.627013874053954
Mongolia,4.62167501449585
Colombia,4.621418396631875
Hungary,4.573102474212647
Paraguay,4.566819985707603
Spain,4.54078788757324
Chile,4.5111334323883066
St. Lucia,4.504761616388957
Nicaragua,4.48548984527588
Djibouti,4.48079013824463
Rwanda,4.473983367284138
Maldives,4.453009923299153
Serbia,4.4206448793411255
Turkey,4.4138200283050555
Uruguay,4.35693979263306
Croatia,4.3290300369262695
Tajikistan,4.2980101108551025
Burkina Faso,4.2894983291625985
Thailand,4.2515774369239825
Italy,4.1897175312042245
Czech Republic,4.1732975244522095
Luxembourg,4.1123950481414795
Slovak Republic,4.062524032592776
Tanzania,4.052410006523135
Fiji,4.02797496318817
Mauritius,3.952831625938415
Qatar,3.9485719680786144
Russian Federation,3.86133003234863
Bulgaria,3.747622549533845
India,3.74276500940323
Nepal,3.7331950267155967
"Gambia, The",3.727514922618865
Japan,3.646635961532592
Seychelles,3.60644006729126
Mali,3.5427679538726817
Albania,3.53943991661072
"Hong Kong SAR, China",3.5040033260981236
Guyana,3.480903307596843
Angola,3.47622990608215
El Salvador,3.4441466331481885
Afghanistan,3.3345650037129717
"Iran, Islamic Rep.",3.296441674232484
Indonesia,3.2730000416437783
Turks and Caicos Islands,3.26528000831604
Peru,3.2360233465830466
Brunei Darussalam,3.2073799610137916
Guinea,3.196897983551026
Panama,3.18772006034851
Romania,3.1407575011253352
Cameroon,3.093917548656465
Mauritania,3.090157508850097
Turkmenistan,3.05590009689331
Singapore,3.0546800494194
Andorra,2.9877519607543923
Gabon,2.95499801635742
Guatemala,2.9034116665522265
Armenia,2.811543305714925
Kazakhstan,2.78749990463257
St. Kitts and Nevis,2.78424000740051
Liberia,2.75756001472473
Sierra Leone,2.62785601615906
Bahrain,2.56443500518799
Liechtenstein,2.55604004859924
"Macao SAR, China",2.5462059974670423
Madagascar,2.5322433312733965
Azerbaijan,2.4818799972534182
Lao PDR,2.454594016075132
Uganda,2.4522220134735098
Pakistan,2.374584952990215
San Marino,2.346549987792965
Georgia,2.339764952659605
Chad,2.32378250360489
Bangladesh,2.04754251241684
Bermuda,2.043786724408467
Lebanon,2.0100400149822226
Guinea-Bissau,1.9687200188636775
"Congo, Dem. Rep.",1.9235649704933149
Sri Lanka,1.7916516860326133
Cambodia,1.706403994560242
West Bank and Gaza,1.50376000404358
South Sudan,1.409725999832154
Monaco,1.4096060276031481
Central African Republic,1.21401000022888
